Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,1.010663,1.012043,1.002346,1.010663,1.010663,0
2022-06-14,1.003346,1.012658,0.997317,1.003346,1.003346,0
2022-06-15,1.000500,1.003835,0.997705,1.000500,1.000500,0
2022-06-16,1.005409,1.034950,1.001242,1.005409,1.005409,0
2022-06-17,1.034404,1.039512,1.027749,1.034404,1.034404,0
2022-06-20,1.031396,1.039177,1.030609,1.031396,1.031396,0
2022-06-21,1.034019,1.038141,1.032866,1.034019,1.034019,0
2022-06-22,1.035175,1.043493,1.032077,1.035175,1.035175,0
2022-06-23,1.039771,1.044714,1.033282,1.039771,1.039771,0
2022-06-24,1.040193,1.050233,1.038368,1.040193,1.040193,0
2022-06-27,1.044616,1.047899,1.039631,1.044616,1.044616,0
2022-06-28,1.045850,1.048592,1.043253,1.045850,1.045850,0
2022-06-29,1.045271,1.052909,1.044168,1.045271,1.045271,0
2022-06-30,1.048020,1.049208,1.041265,1.048020,1.048020,0
2022-07-01,1.047022,1.047559,1.037248,1.047022,1.047022,0
2022-07-04,1.043406,1.044626,1.039847,1.043406,1.043406,0
2022-07-05,1.040767,1.042438,1.030652,1.040767,1.040767,0
2022-07-06,1.032527,1.034019,1.026610,1.032527,1.032527,0
2022-07-07,1.030715,1.032866,1.026726,1.030715,1.030715,0
2022-07-08,1.026905,1.028807,1.020783,1.026905,1.026905,0
2022-07-11,1.022777,1.022882,1.016043,1.022777,1.022777,0
2022-07-12,1.017563,1.019992,1.014425,1.017563,1.017563,0
2022-07-13,1.018465,1.024706,1.017377,1.018465,1.018465,0
2022-07-14,1.019576,1.019753,1.011808,1.019576,1.019576,0
2022-07-15,1.017294,1.023458,1.016394,1.017294,1.017294,0
2022-07-18,1.025010,1.027633,1.021690,1.025010,1.025010,0
2022-07-19,1.023018,1.035733,1.021889,1.023018,1.023018,0
2022-07-20,1.032205,1.033485,1.027939,1.032205,1.032205,0
2022-07-21,1.029368,1.034137,1.026894,1.029368,1.029368,0
2022-07-22,1.034982,1.041710,1.030758,1.034982,1.034982,0
2022-07-25,1.038422,1.039609,1.035272,1.038422,1.038422,0
2022-07-26,1.037032,1.039944,1.034511,1.037032,1.037032,0
2022-07-27,1.039242,1.041341,1.035690,1.039242,1.039242,0
2022-07-28,1.043634,1.046233,1.038454,1.043634,1.043634,0
2022-07-29,1.047757,1.052299,1.042535,1.047757,1.047757,0
2022-08-01,1.049241,1.054741,1.049560,1.049241,1.049241,0
2022-08-02,1.052521,1.055922,1.046134,1.052521,1.052521,0
2022-08-03,1.043319,1.047987,1.036302,1.043319,1.043319,0
2022-08-04,1.040377,1.045588,1.039253,1.040377,1.040377,0
2022-08-05,1.048130,1.048548,1.036388,1.048130,1.048130,0
2022-08-08,1.039242,1.050111,1.037980,1.039242,1.039242,0
2022-08-09,1.047252,1.051226,1.046572,1.047252,1.047252,0
2022-08-10,1.048031,1.064509,1.047768,1.048031,1.048031,0
2022-08-11,1.061233,1.067019,1.058728,1.061233,1.061233,0
2022-08-12,1.062338,1.062948,1.058403,1.062338,1.062338,0
2022-08-15,1.061797,1.062925,1.056435,1.061797,1.061797,0
2022-08-16,1.057127,1.057865,1.051160,1.057127,1.057127,0
2022-08-17,1.053008,1.054541,1.047987,1.053008,1.053008,0
2022-08-18,1.051149,1.052864,1.047307,1.051149,1.051149,0
2022-08-19,1.045380,1.046792,1.042047,1.045380,1.045380,0
2022-08-22,1.042970,1.044506,1.035743,1.042970,1.042970,0
2022-08-23,1.036914,1.041135,1.031779,1.036914,1.036914,0
2022-08-24,1.036936,1.040832,1.032343,1.036936,1.036936,0
2022-08-25,1.034704,1.040475,1.034073,1.034704,1.034704,0
2022-08-26,1.037721,1.043689,1.035282,1.037721,1.037721,0
2022-08-29,1.032524,1.035122,1.030290,1.032524,1.032524,0
2022-08-30,1.033998,1.034661,1.024475,1.033998,1.033998,0
2022-08-31,1.026778,1.028383,1.019794,1.026778,1.026778,0
2022-09-01,1.021377,1.026188,1.014724,1.021377,1.021377,0
2022-09-02,1.019067,1.021941,1.014528,1.019067,1.019067,0
2022-09-05,1.016932,1.020762,1.016622,1.016932,1.016932,0
2022-09-06,1.022077,1.024170,1.014261,1.022077,1.022077,0
2022-09-07,1.015723,1.020314,1.013315,1.015723,1.015723,0
2022-09-08,1.023583,1.029898,1.022369,1.023583,1.023583,0
2022-09-09,1.032365,1.047351,1.032269,1.032365,1.032365,0
2022-09-12,1.041754,1.051536,1.040864,1.041754,1.041754,0
2022-09-13,1.049538,1.054852,1.038325,1.049538,1.049538,0
2022-09-14,1.041309,1.042851,1.038702,1.041309,1.041309,0
2022-09-15,1.039616,1.046572,1.037258,1.039616,1.039616,0
2022-09-16,1.039717,1.041569,1.035947,1.039717,1.039717,0
2022-09-19,1.038195,1.038734,1.031470,1.038195,1.038195,0
2022-09-20,1.037248,1.038810,1.032940,1.037248,1.037248,0
2022-09-21,1.037667,1.038961,1.033100,1.037667,1.037667,0
2022-09-22,1.033122,1.038885,1.015723,1.033122,1.033122,0
2022-09-23,1.024905,1.025136,1.017180,1.024905,1.024905,0
2022-09-26,1.017905,1.019940,1.007100,1.017905,1.017905,0
2022-09-27,1.007932,1.015156,1.007313,1.007932,1.007932,0
2022-09-28,1.008553,1.025168,1.004419,1.008553,1.008553,0
2022-09-29,1.022892,1.023437,1.014672,1.022892,1.022892,0
2022-09-30,1.025715,1.026747,1.015084,1.025715,1.025715,0
2022-10-03,1.014559,1.016766,1.006907,1.014559,1.014559,0
2022-10-04,1.007496,1.020950,1.005955,1.007496,1.007496,0
2022-10-05,1.021774,1.022035,1.011296,1.021774,1.021774,0
2022-10-06,1.019036,1.022599,1.008746,1.019036,1.019036,0
2022-10-07,1.010132,1.012248,1.005106,1.010132,1.010132,0
2022-10-10,1.005470,1.006847,0.999181,1.005470,1.005470,0
2022-10-11,1.000490,1.005996,0.998014,1.000490,1.000490,0
2022-10-12,1.002406,1.006776,0.999710,1.002406,1.002406,0
2022-10-13,1.002617,1.003714,0.993157,1.002617,1.002617,0
2022-10-14,0.998592,1.003512,0.994313,0.998592,0.998592,0
2022-10-17,0.996343,1.005632,0.995659,0.996343,0.996343,0
2022-10-18,1.004520,1.008065,1.002145,1.004520,1.004520,0
2022-10-19,1.006360,1.006745,0.995411,1.006360,1.006360,0
2022-10-20,0.995213,1.000470,0.993246,0.995213,0.995213,0
2022-10-21,0.996204,1.002104,0.985484,0.996204,0.996204,0
2022-10-24,1.002125,1.003502,0.996989,1.002125,1.002125,0
